Organizational / Out-of-Service Workload,TEST CALL ONLY
Reactive Patrol Demand,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS)
Reactive Patrol Demand,THEFT - ALL OTHER
Reactive Patrol Demand,THEFT - AUTO ACCESSORIES
Reactive Patrol Demand,THEFT - BICYCLE
Reactive Patrol Demand,THEFT - CAR PROWL
Reactive Patrol Demand,THEFT - SHOPLIFT
Reactive Patrol Demand,THEFT OF SERVICES
Reactive Patrol Demand,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING)
Reactive Patrol Demand,TRAF - ELUDING POLICE
Reactive Patrol Demand,TRAFFIC - ASSIST MOTORIST
Reactive Patrol Demand,TRAFFIC - BICYCLE VIOLATION
Reactive Patrol Demand,TRAFFIC - BLOCKING ROADWAY
Reactive Patrol Demand,TRAFFIC - BLOCKING TRAFFIC
Reactive Patrol Demand,TRAFFIC - BO SIGNALS AND DOWN SIGNS
Reactive Patrol Demand,TRAFFIC - COMMUNITY TRAFFIC COMPLAINT (CTC)
Reactive Patrol Demand,TRAFFIC - D.U.I.
Reactive Patrol Demand,TRAFFIC - MOVING VIOLATION
Reactive Patrol Demand,TRAFFIC - MV COLLISION INVESTIGATION
Reactive Patrol Demand,TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)
Reactive Patrol Demand,TRAFFIC - PEDESTRIAN VIOLATION
Reactive Patrol Demand,TRAFFIC - REFUSE TO STOP (PURSUIT)
Reactive Patrol Demand,TRAFFIC - ROAD RAGE
Reactive Patrol Demand,TRAFFIC - SCHOOL ZONE ENFORCEMENT
Reactive Patrol Demand,TRAFFIC - TRAFFIC CONTROL (SPECIAL EVENTS)
Proactive / Community Patrol Activity,TRAFFIC STOP - OFFICER INITIATED ONVIEW
Reactive Patrol Demand,TREES DOWN  OBSTRUCTING PUBLIC PROP (NO HAZ)
Reactive Patrol Demand,TRESPASS
Reactive Patrol Demand,TRU - FRAUD
Reactive Patrol Demand,TRU - SUSPICIOUS CIRCUMSTANCES
Reactive Patrol Demand,TRU - THREATS
Reactive Patrol Demand,UNKNOWN - ANI/ALI - LANDLINE (INCLUDES OPEN LINE)
Reactive Patrol Demand,UNKNOWN - ANI/ALI - WRLS PHNS (INCL OPEN LINE)
Reactive Patrol Demand,UNKNOWN - COMPLAINT OF UNKNOWN NATURE
Reactive Patrol Demand,VICE - GAMBLING
Reactive Patrol Demand,VICE - LIQUOR (BUSINESS ESTABLISHMENT)
Reactive Patrol Demand,VICE - OTHER
Reactive Patrol Demand,VICE - PROSTITUTION
Reactive Patrol Demand,WARRANT - FELONY PICKUP
Reactive Patrol Demand,WARRANT - MISD PICKUP
Reactive Patrol Demand,WARRANT - SEARCH. CAUTION (EXCL NARCOTICS)
Reactive Patrol Demand,WARRANT - SEARCH. EXECUTED  SECURED
Reactive Patrol Demand,WARRANT PICKUP - FROM OTHER AGENCY
Reactive Patrol Demand,WARRANT SERVICES - FELONY
Reactive Patrol Demand,WARRANT SERVICES - MISDEMEANOR
Reactive Patrol Demand,WEAPN - GUN DEADLY WPN (NO THRTS/ASLT/DIST)
Reactive Patrol Demand,WEAPON  PERSON WITH - GUN
Reactive Patrol Demand,WEAPON PERSON WITH - OTHER WEAPON
Reactive Patrol Demand,WIRES DOWN (PHONE  ELECTRICAL ETC.)
